"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6658","O usuário seleciona o modulo Produtos Semanal Diario do menu lateral","","Wed May 21 17:40:17 BRT 2025","passed","Wed May 21 17:40:24 BRT 2025","","","",""
"","2688","Usuário Trading/Portifólio acessa a aplicação criar dados","","Wed May 21 17:49:01 BRT 2025","passed","Wed May 21 17:49:04 BRT 2025","","","",""
"","15918","Cancelar processo para adicionar um novo usuário","","Wed May 21 17:38:41 BRT 2025","passed","Wed May 21 17:38:57 BRT 2025","","","",""
"","5400","Verificar apresentação de dados DCIDE do histórico dos dados de diretrizes semanais","","Wed May 21 17:44:31 BRT 2025","passed","Wed May 21 17:44:36 BRT 2025","","","",""
"","448","Verificar apresentação dos dados de diretrizes diárias","","Wed May 21 17:44:03 BRT 2025","passed","Wed May 21 17:44:03 BRT 2025","","","",""
"","406","Usuário Trading/Portifólio acessa a aplicação visualizar","","Wed May 21 17:48:28 BRT 2025","passed","Wed May 21 17:48:29 BRT 2025","","","",""
"","25223","Erro ao tentar cadastrar usuário que já existe","","Wed May 21 17:45:10 BRT 2025","passed","Wed May 21 17:45:35 BRT 2025","","","",""
"","22113","Campos obrigatórios não preenchidos","","Wed May 21 17:46:11 BRT 2025","passed","Wed May 21 17:46:33 BRT 2025","","","",""
"","765","Exportar dados da diretriz I-REC apresentados em XLSX","","Wed May 21 17:44:39 BRT 2025","passed","Wed May 21 17:44:40 BRT 2025","","","",""
"","13290","Usuário Trading/Portifólio acessa a aplicação excluir","","Wed May 21 17:48:48 BRT 2025","passed","Wed May 21 17:49:01 BRT 2025","","","",""
"","3045","Visualizar usuários cadastrados","","Wed May 21 17:38:38 BRT 2025","passed","Wed May 21 17:38:41 BRT 2025","","","",""
"","5796","O usuário acessa o botão para adicionar um novo item","","Wed May 21 17:40:43 BRT 2025","passed","Wed May 21 17:40:48 BRT 2025","","","",""
"","22373","Tentativa de acesso não logado","","Wed May 21 17:47:52 BRT 2025","failed","Wed May 21 17:48:14 BRT 2025","","","",""
"","6132","O usuário seleciona o modulo Produtos Curto Prazo do menu lateral","","Wed May 21 17:40:30 BRT 2025","passed","Wed May 21 17:40:37 BRT 2025","","","",""
"","28174","Consultar um arquivo de evidências com sucesso","","Wed May 21 17:41:21 BRT 2025","passed","Wed May 21 17:41:50 BRT 2025","","","",""
"","1829","Exportar dados da diretriz Semanal apresentados em XLSX","","Wed May 21 17:44:37 BRT 2025","passed","Wed May 21 17:44:39 BRT 2025","","","",""
"","41349","Administrador acessa a aplicação cadastro de usuário com perfis","","Wed May 21 17:42:15 BRT 2025","passed","Wed May 21 17:42:56 BRT 2025","","","",""
