"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","40684","Administrador acessa a aplicação cadastro de usuário com perfis","","Wed May 21 19:40:11 BRT 2025","passed","Wed May 21 19:40:52 BRT 2025","","","",""
"","2606","Usuário Trading/Portifólio acessa a aplicação criar dados","","Wed May 21 19:46:56 BRT 2025","passed","Wed May 21 19:46:59 BRT 2025","","","",""
"","22271","Tentativa de acesso não logado","","Wed May 21 19:45:51 BRT 2025","failed","Wed May 21 19:46:13 BRT 2025","","","",""
"","13556","Usuário Trading/Portifólio acessa a aplicação excluir","","Wed May 21 19:46:43 BRT 2025","passed","Wed May 21 19:46:56 BRT 2025","","","",""
"","648","Exportar dados da diretriz diária apresentados em XLSX","","Wed May 21 19:42:32 BRT 2025","passed","Wed May 21 19:42:33 BRT 2025","","","",""
"","17460","Alteração de dados do usuário com sucesso","","Wed May 21 19:43:53 BRT 2025","passed","Wed May 21 19:44:10 BRT 2025","","","",""
"","410","Usuário Trading/Portifólio acessa a aplicação visualizar","","Wed May 21 19:46:27 BRT 2025","passed","Wed May 21 19:46:28 BRT 2025","","","",""
"","17671","Excluir um usuário existente","","Wed May 21 19:37:46 BRT 2025","passed","Wed May 21 19:38:04 BRT 2025","","","",""
"","4645","Usuário Trading/Portifólio acessa a aplicação diretrizes","","Wed May 21 19:46:14 BRT 2025","passed","Wed May 21 19:46:18 BRT 2025","","","",""
"","6687","O usuário seleciona o modulo Produtos Semanal Diario do menu lateral","","Wed May 21 19:38:06 BRT 2025","passed","Wed May 21 19:38:12 BRT 2025","","","",""
"","21036","Administrador acessa a aplicação operações Trading/Portifólio","","Wed May 21 19:41:15 BRT 2025","passed","Wed May 21 19:41:36 BRT 2025","","","",""
"","453","Verificar apresentação dos dados de diretrizes diárias","","Wed May 21 19:41:59 BRT 2025","passed","Wed May 21 19:42:00 BRT 2025","","","",""
"","514","Acesso ao menu pelo Administrador","","Wed May 21 19:41:57 BRT 2025","passed","Wed May 21 19:41:57 BRT 2025","","","",""
"","800","Exportar dados da diretriz curto prazo apresentados em XLSX","","Wed May 21 19:42:35 BRT 2025","passed","Wed May 21 19:42:36 BRT 2025","","","",""
"","4596","Usuário Trading/Portifólio acessa a aplicação prêmio de proposta de diretrizes","","Wed May 21 19:46:18 BRT 2025","passed","Wed May 21 19:46:23 BRT 2025","","","",""
"","5281","Verificar apresentação de dados DCIDE do histórico dos dados de diretrizes semanais","","Wed May 21 19:42:27 BRT 2025","passed","Wed May 21 19:42:32 BRT 2025","","","",""
"","19801","Editar um usuário existente","","Wed May 21 19:37:08 BRT 2025","passed","Wed May 21 19:37:28 BRT 2025","","","",""
"","405","Verificar apresentação dos dados de diretrizes semanais","","Wed May 21 19:42:00 BRT 2025","passed","Wed May 21 19:42:00 BRT 2025","","","",""
"","6806","O usuário seleciona o modulo Produtos IREC do menu lateral","","Wed May 21 19:38:12 BRT 2025","passed","Wed May 21 19:38:19 BRT 2025","","","",""
"","1528","Exportar dados da diretriz Semanal apresentados em XLSX","","Wed May 21 19:42:33 BRT 2025","passed","Wed May 21 19:42:34 BRT 2025","","","",""
"","22860","Cadastro de usuário com e-mail inválido","","Wed May 21 19:43:30 BRT 2025","passed","Wed May 21 19:43:53 BRT 2025","","","",""
"","6055","O usuário visualiza dados já cadastrados no módulo","","Wed May 21 19:38:25 BRT 2025","passed","Wed May 21 19:38:31 BRT 2025","","","",""
"","15112","Usuário Trading/Portifólio acessa a aplicação editar","","Wed May 21 19:46:28 BRT 2025","passed","Wed May 21 19:46:43 BRT 2025","","","",""
"","22154","Campos obrigatórios não preenchidos","","Wed May 21 19:44:10 BRT 2025","passed","Wed May 21 19:44:32 BRT 2025","","","",""
"","24295","Cadastro de usuário com sucesso","","Wed May 21 19:42:41 BRT 2025","passed","Wed May 21 19:43:05 BRT 2025","","","",""
"","24899","Acesso não logado","","Wed May 21 19:45:26 BRT 2025","broken","Wed May 21 19:45:51 BRT 2025","","","",""
"","6140","O usuário acessa o botão para adicionar um novo item","","Wed May 21 19:38:31 BRT 2025","passed","Wed May 21 19:38:37 BRT 2025","","","",""
