"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"4","","0","Acessar a página de login e testar fluxo de tela de usuários","4","0","","0"
"0","","0","Testar o login no site da Neoenergia","1","0","","0"
