"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","307","Visualizar dashboard para I-REC","","Thu May 22 16:32:00 BRT 2025","passed","Thu May 22 16:32:00 BRT 2025","","","",""
"","25220","Erro ao tentar cadastrar usuário que já existe","","Thu May 22 16:33:37 BRT 2025","passed","Thu May 22 16:34:03 BRT 2025","","","",""
"","6204","O usuário seleciona o modulo Produtos Curto Prazo do menu lateral","","Thu May 22 16:28:32 BRT 2025","passed","Thu May 22 16:28:38 BRT 2025","","","",""
"","24640","Administrador tenta cadastrar um usuário já existente","","Thu May 22 16:35:30 BRT 2025","passed","Thu May 22 16:35:55 BRT 2025","","","",""
"","302","Usuário Trading/Portifólio acessa a aplicação prêmios","","Thu May 22 16:37:52 BRT 2025","passed","Thu May 22 16:37:53 BRT 2025","","","",""
"","24702","Cadastro de usuário com sucesso","","Thu May 22 16:33:13 BRT 2025","passed","Thu May 22 16:33:37 BRT 2025","","","",""
"","4635","Usuário Trading/Portifólio acessa a aplicação prêmios padrão","","Thu May 22 16:37:12 BRT 2025","passed","Thu May 22 16:37:16 BRT 2025","","","",""
"","20577","Administrador acessa a aplicação operações módulo Comercial","","Thu May 22 16:31:38 BRT 2025","passed","Thu May 22 16:31:58 BRT 2025","","","",""
"","1525","O menu lateral deve estar presente na página","","Thu May 22 16:28:17 BRT 2025","passed","Thu May 22 16:28:19 BRT 2025","","","",""
"","17331","Alteração de dados do usuário com sucesso","","Thu May 22 16:34:25 BRT 2025","passed","Thu May 22 16:34:42 BRT 2025","","","",""
"","41168","Administrador acessa a aplicação cadastro de usuário com perfis","","Thu May 22 16:30:13 BRT 2025","passed","Thu May 22 16:30:54 BRT 2025","","","",""
"","2674","Administrador acessa a tela de usuários","","Thu May 22 16:26:33 BRT 2025","passed","Thu May 22 16:26:36 BRT 2025","","","",""
"","24637","Consultar um arquivo que não existe","","Thu May 22 16:29:48 BRT 2025","passed","Thu May 22 16:30:13 BRT 2025","","","",""
"","19647","Editar um usuário existente","","Thu May 22 16:27:22 BRT 2025","passed","Thu May 22 16:27:41 BRT 2025","","","",""
"","5436","Verificar apresentação do histórico dos dados de diretrizes diárias","","Thu May 22 16:32:02 BRT 2025","passed","Thu May 22 16:32:07 BRT 2025","","","",""
