"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","24412","Cadastro de usuário com sucesso","","Wed May 21 19:21:21 BRT 2025","passed","Wed May 21 19:21:46 BRT 2025","","","",""
"","411","Usuário Trading/Portifólio acessa a aplicação visualizar","","Wed May 21 19:25:06 BRT 2025","passed","Wed May 21 19:25:07 BRT 2025","","","",""
"","440","Acesso ao menu pelo Administrador","","Wed May 21 19:20:38 BRT 2025","passed","Wed May 21 19:20:38 BRT 2025","","","",""
"","1472","Exportar dados da diretriz I-REC apresentados em XLSX","","Wed May 21 19:21:14 BRT 2025","passed","Wed May 21 19:21:16 BRT 2025","","","",""
"","5456","Verificar apresentação de dados BBCE do histórico dos dados de diretrizes semanais","","Wed May 21 19:20:57 BRT 2025","passed","Wed May 21 19:21:02 BRT 2025","","","",""
"","5379","Verificar apresentação de dados DCIDE do histórico dos dados de diretrizes semanais","","Wed May 21 19:21:07 BRT 2025","passed","Wed May 21 19:21:13 BRT 2025","","","",""
"","18035","Cancelar exclusão de um usuário","","Wed May 21 19:16:09 BRT 2025","passed","Wed May 21 19:16:27 BRT 2025","","","",""
"","294","Usuário Trading/Portifólio acessa a aplicação prêmios","","Wed May 21 19:30:09 BRT 2025","passed","Wed May 21 19:30:10 BRT 2025","","","",""
"","41080","Administrador acessa a aplicação cadastro de usuário com perfis","","Wed May 21 19:18:52 BRT 2025","passed","Wed May 21 19:19:33 BRT 2025","","","",""
"","2586","Usuário Trading/Portifólio acessa a aplicação criar dados","","Wed May 21 19:30:07 BRT 2025","passed","Wed May 21 19:30:09 BRT 2025","","","",""
"","19738","Editar um usuário existente","","Wed May 21 19:15:49 BRT 2025","passed","Wed May 21 19:16:09 BRT 2025","","","",""
"","24760","Administrador tenta cadastrar um usuário já existente","","Wed May 21 19:23:36 BRT 2025","passed","Wed May 21 19:24:01 BRT 2025","","","",""
"","283","Visualizar dashboard com diretrizes semanais","","Wed May 21 19:20:39 BRT 2025","passed","Wed May 21 19:20:39 BRT 2025","","","",""
"","5476","Verificar apresentação do histórico dos dados de diretrizes diárias","","Wed May 21 19:20:40 BRT 2025","passed","Wed May 21 19:20:46 BRT 2025","","","",""
"","276","Visualizar dashboard para I-REC","","Wed May 21 19:20:39 BRT 2025","passed","Wed May 21 19:20:39 BRT 2025","","","",""
"","18297","Usuário Trading/Portifólio acessa a aplicação excluir","","Wed May 21 19:29:48 BRT 2025","broken","Wed May 21 19:30:07 BRT 2025","","","",""
"","5244","Verificar apresentação de dados BBCE do histórico dos dados de diretrizes diárias","","Wed May 21 19:20:51 BRT 2025","passed","Wed May 21 19:20:57 BRT 2025","","","",""
"","830","Exportar dados da diretriz Semanal apresentados em XLSX","","Wed May 21 19:21:13 BRT 2025","passed","Wed May 21 19:21:14 BRT 2025","","","",""
"","1176","Acesso ao menu pelo Trading/Portifólio","","Wed May 21 19:30:10 BRT 2025","passed","Wed May 21 19:30:11 BRT 2025","","","",""
"","23213","Administrador acessa a aplicação visualização das telas","","Wed May 21 19:19:33 BRT 2025","passed","Wed May 21 19:19:56 BRT 2025","","","",""
"","22305","Campos obrigatórios não preenchidos","","Wed May 21 19:22:49 BRT 2025","passed","Wed May 21 19:23:12 BRT 2025","","","",""
"","20526","Administrador acessa a aplicação operações módulo Comercial","","Wed May 21 19:20:17 BRT 2025","passed","Wed May 21 19:20:38 BRT 2025","","","",""
"","281864","Usuário Trading/Portifólio acessa a aplicação editar","","Wed May 21 19:25:07 BRT 2025","passed","Wed May 21 19:29:48 BRT 2025","","","",""
"","24332","Erro ao tentar cadastrar usuário que já existe","","Wed May 21 19:21:46 BRT 2025","passed","Wed May 21 19:22:10 BRT 2025","","","",""
"","6127","O usuário visualiza dados já cadastrados no módulo","","Wed May 21 19:17:05 BRT 2025","passed","Wed May 21 19:17:11 BRT 2025","","","",""
"","6095","O usuário acessa o botão para adicionar um novo item","","Wed May 21 19:17:11 BRT 2025","passed","Wed May 21 19:17:18 BRT 2025","","","",""
"","41352","Enviar um arquivo de evidências com sucesso ao cadastrar a diretriz Curto Prazo","","Wed May 21 19:17:18 BRT 2025","failed","Wed May 21 19:17:59 BRT 2025","","","",""
"","6612","O usuário seleciona o modulo Produtos IREC do menu lateral","","Wed May 21 19:16:53 BRT 2025","passed","Wed May 21 19:16:59 BRT 2025","","","",""
"","4603","Usuário Trading/Portifólio acessa a aplicação diretrizes","","Wed May 21 19:24:52 BRT 2025","passed","Wed May 21 19:24:57 BRT 2025","","","",""
"","5288","Verificar apresentação de dados DCIDE do histórico dos dados de diretrizes diárias","","Wed May 21 19:21:02 BRT 2025","passed","Wed May 21 19:21:07 BRT 2025","","","",""
"","346","Visualizar dashboard com diretrizes","","Wed May 21 19:20:38 BRT 2025","passed","Wed May 21 19:20:39 BRT 2025","","","",""
"","1564","O menu lateral deve estar presente na página","","Wed May 21 19:16:44 BRT 2025","passed","Wed May 21 19:16:46 BRT 2025","","","",""
"","4566","Usuário Trading/Portifólio acessa a aplicação prêmios padrão","","Wed May 21 19:25:02 BRT 2025","passed","Wed May 21 19:25:06 BRT 2025","","","",""
"","26755","Adicionar um novo usuário administrador","","Wed May 21 19:15:22 BRT 2025","passed","Wed May 21 19:15:49 BRT 2025","","","",""
"","778","Exportar dados da diretriz curto prazo apresentados em XLSX","","Wed May 21 19:21:16 BRT 2025","passed","Wed May 21 19:21:16 BRT 2025","","","",""
"","17559","Excluir um usuário existente","","Wed May 21 19:16:27 BRT 2025","passed","Wed May 21 19:16:44 BRT 2025","","","",""
"","6114","O usuário seleciona o modulo Produtos Curto Prazo do menu lateral","","Wed May 21 19:16:59 BRT 2025","passed","Wed May 21 19:17:05 BRT 2025","","","",""
"","22318","Cadastro de usuário com e-mail inválido","","Wed May 21 19:22:10 BRT 2025","passed","Wed May 21 19:22:32 BRT 2025","","","",""
"","25003","Acesso não logado","","Wed May 21 19:24:05 BRT 2025","broken","Wed May 21 19:24:30 BRT 2025","","","",""
"","451","Verificar apresentação dos dados de diretrizes diárias","","Wed May 21 19:20:40 BRT 2025","passed","Wed May 21 19:20:40 BRT 2025","","","",""
"","4612","Visualizar prêmios padrões","","Wed May 21 19:21:16 BRT 2025","passed","Wed May 21 19:21:21 BRT 2025","","","",""
"","24211","Administrador cadastra um novo usuário","","Wed May 21 19:23:12 BRT 2025","passed","Wed May 21 19:23:36 BRT 2025","","","",""
"","278","Visualizar dashboard com diretrizes de curto prazo","","Wed May 21 19:20:39 BRT 2025","passed","Wed May 21 19:20:40 BRT 2025","","","",""
"","27531","Consultar um arquivo de evidências com sucesso","","Wed May 21 19:17:59 BRT 2025","passed","Wed May 21 19:18:27 BRT 2025","","","",""
"","4638","Usuário Trading/Portifólio acessa a aplicação prêmio de proposta de diretrizes","","Wed May 21 19:24:57 BRT 2025","passed","Wed May 21 19:25:02 BRT 2025","","","",""
"","5338","Verificar apresentação do histórico dos dados de diretrizes semanais","","Wed May 21 19:20:46 BRT 2025","passed","Wed May 21 19:20:51 BRT 2025","","","",""
"","24814","Consultar um arquivo que não existe","","Wed May 21 19:18:27 BRT 2025","passed","Wed May 21 19:18:52 BRT 2025","","","",""
"","22412","Tentativa de acesso não logado","","Wed May 21 19:24:30 BRT 2025","failed","Wed May 21 19:24:52 BRT 2025","","","",""
"","15771","Cancelar processo para adicionar um novo usuário","","Wed May 21 19:15:06 BRT 2025","passed","Wed May 21 19:15:22 BRT 2025","","","",""
"","669","Exportar dados da diretriz diária apresentados em XLSX","","Wed May 21 19:21:13 BRT 2025","passed","Wed May 21 19:21:13 BRT 2025","","","",""
