"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","271","Usuário autenticado e associado ao perfil","","Wed May 21 15:11:12 BRT 2025","broken","Wed May 21 15:11:12 BRT 2025","","","",""
"","27137","Administrador cadastra um novo usuário","","Wed May 21 15:10:45 BRT 2025","passed","Wed May 21 15:11:12 BRT 2025","","","",""
"","20337","Administrador tenta cadastrar um usuário já existente","","Wed May 21 15:11:12 BRT 2025","passed","Wed May 21 15:11:32 BRT 2025","","","",""
