"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5831","Verificar apresentação de dados DCIDE do histórico dos dados de diretrizes diárias","","Tue May 20 15:34:43 BRT 2025","passed","Tue May 20 15:34:49 BRT 2025","","","",""
"","396","Visualizar dashboard com diretrizes semanais","","Tue May 20 15:34:27 BRT 2025","passed","Tue May 20 15:34:28 BRT 2025","","","",""
"","648","Visualizar prêmios padrões","","Tue May 20 15:34:54 BRT 2025","passed","Tue May 20 15:34:55 BRT 2025","","","",""
"","907","Verificar apresentação de dados DCIDE do histórico dos dados de diretrizes semanais","","Tue May 20 15:34:49 BRT 2025","failed","Tue May 20 15:34:50 BRT 2025","","","",""
"","835","Verificar apresentação do histórico dos dados de diretrizes semanais","","Tue May 20 15:34:36 BRT 2025","failed","Tue May 20 15:34:36 BRT 2025","","","",""
"","5759","Verificar apresentação de dados BBCE do histórico dos dados de diretrizes diárias","","Tue May 20 15:34:36 BRT 2025","passed","Tue May 20 15:34:42 BRT 2025","","","",""
"","773","Exportar dados da diretriz I-REC apresentados em XLSX","","Tue May 20 15:34:53 BRT 2025","passed","Tue May 20 15:34:54 BRT 2025","","","",""
"","2062","Exportar dados da diretriz Semanal apresentados em XLSX","","Tue May 20 15:34:51 BRT 2025","passed","Tue May 20 15:34:53 BRT 2025","","","",""
"","550","Verificar apresentação dos dados de diretrizes semanais","","Tue May 20 15:34:29 BRT 2025","passed","Tue May 20 15:34:29 BRT 2025","","","",""
"","456","Visualizar dashboard para I-REC","","Tue May 20 15:34:28 BRT 2025","passed","Tue May 20 15:34:28 BRT 2025","","","",""
"","394","Visualizar dashboard com diretrizes de curto prazo","","Tue May 20 15:34:28 BRT 2025","passed","Tue May 20 15:34:28 BRT 2025","","","",""
"","1165","Exportar dados da diretriz diária apresentados em XLSX","","Tue May 20 15:34:50 BRT 2025","passed","Tue May 20 15:34:51 BRT 2025","","","",""
"","6026","Verificar apresentação do histórico dos dados de diretrizes diárias","","Tue May 20 15:34:29 BRT 2025","passed","Tue May 20 15:34:36 BRT 2025","","","",""
"","551","Visualizar dashboard com diretrizes","","Tue May 20 15:34:27 BRT 2025","passed","Tue May 20 15:34:27 BRT 2025","","","",""
"","688","Exportar dados da diretriz curto prazo apresentados em XLSX","","Tue May 20 15:34:54 BRT 2025","passed","Tue May 20 15:34:54 BRT 2025","","","",""
"","506","Verificar apresentação dos dados de diretrizes diárias","","Tue May 20 15:34:28 BRT 2025","passed","Tue May 20 15:34:29 BRT 2025","","","",""
"","843","Verificar apresentação de dados BBCE do histórico dos dados de diretrizes semanais","","Tue May 20 15:34:42 BRT 2025","failed","Tue May 20 15:34:43 BRT 2025","","","",""
