"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2651","Visualizar usuários cadastrados","","Thu Mar 27 15:50:58 BRT 2025","passed","Thu Mar 27 15:51:00 BRT 2025","","","",""
"","9022","Cancelar processo para adicionar um novo usuário","","Thu Mar 27 15:51:00 BRT 2025","passed","Thu Mar 27 15:51:09 BRT 2025","","","",""
"","14909","Editar um usuário existente","","Thu Mar 27 15:51:23 BRT 2025","failed","Thu Mar 27 15:51:38 BRT 2025","","","",""
"","55101","Acessar a página de login com sucesso","","Thu Mar 27 15:50:00 BRT 2025","passed","Thu Mar 27 15:50:55 BRT 2025","","","",""
"","17452","Excluir um usuário existente","","Thu Mar 27 15:51:57 BRT 2025","failed","Thu Mar 27 15:52:15 BRT 2025","","","",""
"","2527","Administrador acessa a tela de usuários","","Thu Mar 27 15:50:55 BRT 2025","passed","Thu Mar 27 15:50:58 BRT 2025","","","",""
"","13783","Adicionar um novo usuário","","Thu Mar 27 15:51:09 BRT 2025","passed","Thu Mar 27 15:51:23 BRT 2025","","","",""
"","19152","Cancelar exclusão de um usuário","","Thu Mar 27 15:51:38 BRT 2025","failed","Thu Mar 27 15:51:57 BRT 2025","","","",""
