"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","27747","Consultar um arquivo de evidências com sucesso","","Wed May 21 10:23:33 BRT 2025","passed","Wed May 21 10:24:00 BRT 2025","","","",""
"","40935","Enviar um arquivo de evidências com sucesso ao cadastrar a diretriz Curto Prazo","","Wed May 21 10:22:52 BRT 2025","failed","Wed May 21 10:23:33 BRT 2025","","","",""
"","24806","Consultar um arquivo que não existe","","Wed May 21 10:24:00 BRT 2025","passed","Wed May 21 10:24:25 BRT 2025","","","",""
