"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2965","Visualizar usuários cadastrados","","Thu May 22 17:09:29 BRT 2025","passed","Thu May 22 17:09:32 BRT 2025","","","",""
"","19604","Editar um usuário existente","","Thu May 22 17:10:14 BRT 2025","passed","Thu May 22 17:10:34 BRT 2025","","","",""
"","1174","Usuário Trading/Portifólio acessa a aplicação prêmios","","Thu May 22 17:20:07 BRT 2025","passed","Thu May 22 17:20:08 BRT 2025","","","",""
"","25095","Consultar um arquivo que não existe","","Thu May 22 17:12:41 BRT 2025","passed","Thu May 22 17:13:06 BRT 2025","","","",""
"","6154","O usuário seleciona o modulo Produtos Curto Prazo do menu lateral","","Thu May 22 17:11:25 BRT 2025","passed","Thu May 22 17:11:31 BRT 2025","","","",""
"","3005","Tentativa de acesso não logado","","Thu May 22 17:20:20 BRT 2025","broken","Thu May 22 17:20:23 BRT 2025","","","",""
"","5501","Verificar apresentação do histórico dos dados de diretrizes diárias","","Thu May 22 17:14:56 BRT 2025","passed","Thu May 22 17:15:01 BRT 2025","","","",""
"","4923","Usuário Trading/Portifólio acessa a aplicação prêmio de proposta de diretrizes","","Thu May 22 17:18:58 BRT 2025","passed","Thu May 22 17:19:03 BRT 2025","","","",""
"","4707","Usuário Trading/Portifólio acessa a aplicação diretrizes","","Thu May 22 17:18:53 BRT 2025","passed","Thu May 22 17:18:58 BRT 2025","","","",""
"","30586","Usuário Trading/Portifólio acessa a aplicação excluir","","Thu May 22 17:19:27 BRT 2025","passed","Thu May 22 17:19:58 BRT 2025","","","",""
"","41688","Administrador acessa a aplicação cadastro de usuário com perfis","","Thu May 22 17:13:06 BRT 2025","passed","Thu May 22 17:13:48 BRT 2025","","","",""
"","3015","Acesso não logado","","Thu May 22 17:20:17 BRT 2025","broken","Thu May 22 17:20:20 BRT 2025","","","",""
"","17448","Alteração de dados do usuário com sucesso","","Thu May 22 17:17:19 BRT 2025","passed","Thu May 22 17:17:37 BRT 2025","","","",""
"","6523","O usuário seleciona o modulo Produtos IREC do menu lateral","","Thu May 22 17:11:19 BRT 2025","passed","Thu May 22 17:11:25 BRT 2025","","","",""
"","15718","Cancelar processo para adicionar um novo usuário","","Thu May 22 17:09:32 BRT 2025","passed","Thu May 22 17:09:47 BRT 2025","","","",""
"","437","Acesso ao menu pelo Administrador","","Thu May 22 17:14:53 BRT 2025","passed","Thu May 22 17:14:53 BRT 2025","","","",""
"","24907","Cadastro de usuário com sucesso","","Thu May 22 17:16:07 BRT 2025","passed","Thu May 22 17:16:32 BRT 2025","","","",""
"","26832","Adicionar um novo usuário administrador","","Thu May 22 17:09:47 BRT 2025","passed","Thu May 22 17:10:14 BRT 2025","","","",""
"","22695","Cadastro de usuário com e-mail inválido","","Thu May 22 17:16:57 BRT 2025","passed","Thu May 22 17:17:19 BRT 2025","","","",""
"","23286","Administrador acessa a aplicação visualização das telas","","Thu May 22 17:13:48 BRT 2025","passed","Thu May 22 17:14:11 BRT 2025","","","",""
"","19512","Usuário Trading/Portifólio acessa a aplicação editar","","Thu May 22 17:19:08 BRT 2025","passed","Thu May 22 17:19:27 BRT 2025","","","",""
