"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3058","Visualizar usuários cadastrados","","Wed May 21 09:20:58 BRT 2025","passed","Wed May 21 09:21:01 BRT 2025","","","",""
"","19853","Editar um usuário existente","","Wed May 21 09:21:43 BRT 2025","passed","Wed May 21 09:22:03 BRT 2025","","","",""
"","17948","Excluir um usuário existente","","Wed May 21 09:22:21 BRT 2025","passed","Wed May 21 09:22:39 BRT 2025","","","",""
"","26728","Adicionar um novo usuário administrador","","Wed May 21 09:21:17 BRT 2025","passed","Wed May 21 09:21:43 BRT 2025","","","",""
"","18029","Cancelar exclusão de um usuário","","Wed May 21 09:22:03 BRT 2025","passed","Wed May 21 09:22:21 BRT 2025","","","",""
"","15638","Cancelar processo para adicionar um novo usuário","","Wed May 21 09:21:01 BRT 2025","passed","Wed May 21 09:21:17 BRT 2025","","","",""
"","2712","Administrador acessa a tela de usuários","","Wed May 21 09:20:55 BRT 2025","passed","Wed May 21 09:20:58 BRT 2025","","","",""
