"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Tela Inicial","17","0","","0"
"4","","0","Tela de cadastro de usuário","1","0","","0"
"3","","0","Perfil de acesso Portifólio/Trading","6","0","","0"
"5","","0","Aplicação Base - Tela de usuários","1","0","","0"
"3","","0","Armazenamento de evidências","0","0","","0"
"0","","0","Acessar a página de login e testar fluxo de tela de usuários","7","0","","0"
"0","","2","Validação de Usuário","1","0","","0"
"0","","0","Perfil de acesso Administrador","5","0","","0"
"1","","1","Perfil de acesso não logado","0","0","","0"
