"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7429","Cancelar exclusão de um usuário","","Tue May 20 17:14:31 BRT 2025","passed","Tue May 20 17:14:38 BRT 2025","","","",""
"","1588","Exportar dados da diretriz Semanal apresentados em XLSX","","Tue May 20 17:18:42 BRT 2025","passed","Tue May 20 17:18:44 BRT 2025","","","",""
"","439","Verificar apresentação dos dados de diretrizes semanais","","Tue May 20 17:18:09 BRT 2025","passed","Tue May 20 17:18:09 BRT 2025","","","",""
"","5326","Verificar apresentação de dados BBCE do histórico dos dados de diretrizes semanais","","Tue May 20 17:18:25 BRT 2025","passed","Tue May 20 17:18:31 BRT 2025","","","",""
"","287","Usuário autenticado e associado ao perfil","","Tue May 20 17:19:48 BRT 2025","failed","Tue May 20 17:19:48 BRT 2025","","","",""
"","5331","Verificar apresentação de dados DCIDE do histórico dos dados de diretrizes semanais","","Tue May 20 17:18:36 BRT 2025","passed","Tue May 20 17:18:41 BRT 2025","","","",""
"","449","Verificar apresentação dos dados de diretrizes diárias","","Tue May 20 17:18:08 BRT 2025","passed","Tue May 20 17:18:09 BRT 2025","","","",""
"","426","Usuário Trading/Portifólio acessa a aplicação visualizar","","Tue May 20 17:20:41 BRT 2025","passed","Tue May 20 17:20:41 BRT 2025","","","",""
"","291","Visualizar dashboard com diretrizes de curto prazo","","Tue May 20 17:18:08 BRT 2025","passed","Tue May 20 17:18:08 BRT 2025","","","",""
"","30891","Enviar um arquivo de evidências com sucesso ao cadastrar a diretriz Curto Prazo","","Tue May 20 17:15:20 BRT 2025","broken","Tue May 20 17:15:51 BRT 2025","","","",""
"","6312","Cadastro de usuário com sucesso","","Tue May 20 17:18:46 BRT 2025","passed","Tue May 20 17:18:52 BRT 2025","","","",""
"","9195","Editar um usuário existente","","Tue May 20 17:14:22 BRT 2025","passed","Tue May 20 17:14:31 BRT 2025","","","",""
"","6660","O usuário seleciona o modulo Produtos Semanal Diario do menu lateral","","Tue May 20 17:14:48 BRT 2025","passed","Tue May 20 17:14:55 BRT 2025","","","",""
"","4614","Usuário Trading/Portifólio acessa a aplicação prêmio de proposta de diretrizes","","Tue May 20 17:20:32 BRT 2025","passed","Tue May 20 17:20:36 BRT 2025","","","",""
"","1526","O menu lateral deve estar presente na página","","Tue May 20 17:14:47 BRT 2025","passed","Tue May 20 17:14:48 BRT 2025","","","",""
"","4586","Usuário Trading/Portifólio acessa a aplicação diretrizes","","Tue May 20 17:20:27 BRT 2025","passed","Tue May 20 17:20:32 BRT 2025","","","",""
"","433","Acesso ao menu pelo Administrador","","Tue May 20 17:18:06 BRT 2025","passed","Tue May 20 17:18:07 BRT 2025","","","",""
"","20599","Administrador acessa a aplicação cadastro de usuário com perfis","","Tue May 20 17:16:41 BRT 2025","passed","Tue May 20 17:17:01 BRT 2025","","","",""
"","22991","Administrador acessa a aplicação visualização das telas","","Tue May 20 17:17:01 BRT 2025","passed","Tue May 20 17:17:24 BRT 2025","","","",""
"","26203","Consultar um arquivo de evidências com sucesso","","Tue May 20 17:15:51 BRT 2025","broken","Tue May 20 17:16:17 BRT 2025","","","",""
"","20862","Administrador acessa a aplicação operações módulo Comercial","","Tue May 20 17:17:45 BRT 2025","passed","Tue May 20 17:18:06 BRT 2025","","","",""
"","6626","O usuário seleciona o modulo Produtos IREC do menu lateral","","Tue May 20 17:14:55 BRT 2025","passed","Tue May 20 17:15:01 BRT 2025","","","",""
"","13561","Usuário Trading/Portifólio acessa a aplicação excluir","","Tue May 20 17:20:56 BRT 2025","passed","Tue May 20 17:21:10 BRT 2025","","","",""
"","359","Visualizar dashboard com diretrizes","","Tue May 20 17:18:07 BRT 2025","passed","Tue May 20 17:18:07 BRT 2025","","","",""
