"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","703","Limite de anexos","","Fri May 23 15:11:17 BRT 2025","broken","Fri May 23 15:11:17 BRT 2025","","","",""
"","431","Exibição dos produtos cadastrados na tela de cadastro","","Fri May 23 15:11:15 BRT 2025","broken","Fri May 23 15:11:15 BRT 2025","","","",""
"","312","Data de início da vigência válida","","Fri May 23 15:11:15 BRT 2025","broken","Fri May 23 15:11:16 BRT 2025","","","",""
"","379","Cancelamento do cadastro de nova diretriz // não é exibido um modal para confirmar o cancelamento","","Fri May 23 15:11:17 BRT 2025","broken","Fri May 23 15:11:18 BRT 2025","","","",""
"","1151","Acesso à tela de cadastro de nova diretriz","","Fri May 23 15:11:14 BRT 2025","broken","Fri May 23 15:11:15 BRT 2025","","","",""
"","405","Salvar nova diretriz com sucesso","","Fri May 23 15:11:16 BRT 2025","broken","Fri May 23 15:11:16 BRT 2025","","","",""
"","250","Limpeza dos campos após cadastro bem-sucedido","","Fri May 23 15:11:18 BRT 2025","broken","Fri May 23 15:11:18 BRT 2025","","","",""
"","362","Anexação de arquivos durante o cadastro","","Fri May 23 15:11:16 BRT 2025","broken","Fri May 23 15:11:16 BRT 2025","","","",""
"","249","Visualização de mensagem de sucesso ao anexar arquivos","","Fri May 23 15:11:18 BRT 2025","broken","Fri May 23 15:11:18 BRT 2025","","","",""
