"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","306","Visualizar dashboard com diretrizes de curto prazo","","Thu May 22 16:01:49 BRT 2025","passed","Thu May 22 16:01:49 BRT 2025","","","",""
"","6547","O usuário seleciona o modulo Produtos Semanal Diario do menu lateral","","Thu May 22 15:58:05 BRT 2025","passed","Thu May 22 15:58:11 BRT 2025","","","",""
"","17653","Alteração de dados do usuário com sucesso","","Thu May 22 16:04:15 BRT 2025","passed","Thu May 22 16:04:33 BRT 2025","","","",""
"","19475","Editar um usuário existente","","Thu May 22 15:57:07 BRT 2025","passed","Thu May 22 15:57:27 BRT 2025","","","",""
"","5989","O usuário acessa o botão para adicionar um novo item","","Thu May 22 15:58:30 BRT 2025","passed","Thu May 22 15:58:36 BRT 2025","","","",""
"","582","Acesso ao menu pelo Administrador","","Thu May 22 16:01:47 BRT 2025","passed","Thu May 22 16:01:47 BRT 2025","","","",""
"","4608","Usuário Trading/Portifólio acessa a aplicação prêmios padrão","","Thu May 22 16:07:05 BRT 2025","passed","Thu May 22 16:07:10 BRT 2025","","","",""
"","18593","Usuário Trading/Portifólio acessa a aplicação editar","","Thu May 22 16:07:10 BRT 2025","broken","Thu May 22 16:07:29 BRT 2025","","","",""
"","414","Visualizar dashboard com diretrizes","","Thu May 22 16:01:48 BRT 2025","passed","Thu May 22 16:01:48 BRT 2025","","","",""
"","3942","Usuário autenticado e associado ao perfil","","Thu May 22 16:05:46 BRT 2025","passed","Thu May 22 16:05:50 BRT 2025","","","",""
"","18012","Cancelar exclusão de um usuário","","Thu May 22 15:57:27 BRT 2025","passed","Thu May 22 15:57:45 BRT 2025","","","",""
"","6534","O usuário seleciona o modulo Produtos IREC do menu lateral","","Thu May 22 15:58:11 BRT 2025","passed","Thu May 22 15:58:18 BRT 2025","","","",""
"","25344","Administrador cadastra um novo usuário","","Thu May 22 16:04:55 BRT 2025","passed","Thu May 22 16:05:21 BRT 2025","","","",""
"","37268","Tentativa de acesso não logado","","Thu May 22 16:06:18 BRT 2025","failed","Thu May 22 16:06:55 BRT 2025","","","",""
"","289","Visualizar dashboard para I-REC","","Thu May 22 16:01:48 BRT 2025","passed","Thu May 22 16:01:49 BRT 2025","","","",""
"","4611","Usuário Trading/Portifólio acessa a aplicação prêmio de proposta de diretrizes","","Thu May 22 16:07:01 BRT 2025","passed","Thu May 22 16:07:05 BRT 2025","","","",""
"","22227","Campos obrigatórios não preenchidos","","Thu May 22 16:04:33 BRT 2025","passed","Thu May 22 16:04:55 BRT 2025","","","",""
"","10801","Exportar dados da diretriz curto prazo apresentados em XLSX","","Thu May 22 16:02:47 BRT 2025","failed","Thu May 22 16:02:58 BRT 2025","","","",""
"","28720","Enviar um arquivo de evidências com sucesso ao cadastrar a diretriz Curto Prazo","","Thu May 22 15:58:36 BRT 2025","passed","Thu May 22 15:59:05 BRT 2025","","","",""
"","3051","Visualizar usuários cadastrados","","Thu May 22 15:56:22 BRT 2025","passed","Thu May 22 15:56:25 BRT 2025","","","",""
