"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6000","O usuário acessa o botão para adicionar um novo item","","Tue May 20 17:52:10 BRT 2025","passed","Tue May 20 17:52:16 BRT 2025","","","",""
"","9178","Editar um usuário existente","","Tue May 20 17:51:17 BRT 2025","passed","Tue May 20 17:51:26 BRT 2025","","","",""
"","445","Acesso ao menu pelo Administrador","","Tue May 20 17:55:13 BRT 2025","passed","Tue May 20 17:55:13 BRT 2025","","","",""
"","27374","Consultar um arquivo de evidências com sucesso","","Tue May 20 17:52:55 BRT 2025","passed","Tue May 20 17:53:23 BRT 2025","","","",""
"","8059","Cancelar exclusão de um usuário","","Tue May 20 17:51:26 BRT 2025","passed","Tue May 20 17:51:34 BRT 2025","","","",""
"","323","Usuário Trading/Portifólio acessa a aplicação prêmios","","Tue May 20 17:58:45 BRT 2025","passed","Tue May 20 17:58:45 BRT 2025","","","",""
"","5341","Verificar apresentação do histórico dos dados de diretrizes diárias","","Tue May 20 17:55:16 BRT 2025","passed","Tue May 20 17:55:21 BRT 2025","","","",""
"","21849","Tentativa de acesso não logado","","Tue May 20 17:57:37 BRT 2025","failed","Tue May 20 17:57:59 BRT 2025","","","",""
"","4606","Usuário Trading/Portifólio acessa a aplicação prêmio de proposta de diretrizes","","Tue May 20 17:58:04 BRT 2025","passed","Tue May 20 17:58:08 BRT 2025","","","",""
"","6036","Cadastro de usuário com sucesso","","Tue May 20 17:55:52 BRT 2025","passed","Tue May 20 17:55:58 BRT 2025","","","",""
"","785","Exportar dados da diretriz I-REC apresentados em XLSX","","Tue May 20 17:55:50 BRT 2025","passed","Tue May 20 17:55:51 BRT 2025","","","",""
"","17653","Administrador tenta cadastrar um usuário já existente","","Tue May 20 17:56:54 BRT 2025","failed","Tue May 20 17:57:12 BRT 2025","","","",""
"","6666","O usuário seleciona o modulo Produtos Semanal Diario do menu lateral","","Tue May 20 17:51:44 BRT 2025","passed","Tue May 20 17:51:51 BRT 2025","","","",""
"","5912","Adicionar um novo usuário administrador","","Tue May 20 17:51:11 BRT 2025","passed","Tue May 20 17:51:17 BRT 2025","","","",""
"","1633","Exportar dados da diretriz Semanal apresentados em XLSX","","Tue May 20 17:55:48 BRT 2025","passed","Tue May 20 17:55:50 BRT 2025","","","",""
"","272","Visualizar dashboard com diretrizes semanais","","Tue May 20 17:55:14 BRT 2025","passed","Tue May 20 17:55:14 BRT 2025","","","",""
"","39284","Enviar um arquivo de evidências com sucesso ao cadastrar a diretriz Curto Prazo","","Tue May 20 17:52:16 BRT 2025","failed","Tue May 20 17:52:55 BRT 2025","","","",""
"","11885","Alteração de dados do usuário com sucesso","","Tue May 20 17:56:12 BRT 2025","broken","Tue May 20 17:56:24 BRT 2025","","","",""
