"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5323","Verificar apresentação do histórico dos dados de diretrizes semanais","","Tue May 20 15:53:25 BRT 2025","passed","Tue May 20 15:53:30 BRT 2025","","","",""
"","315","Visualizar dashboard para I-REC","","Tue May 20 15:53:17 BRT 2025","passed","Tue May 20 15:53:18 BRT 2025","","","",""
"","382","Visualizar dashboard com diretrizes","","Tue May 20 15:53:17 BRT 2025","passed","Tue May 20 15:53:17 BRT 2025","","","",""
"","723","Exportar dados da diretriz curto prazo apresentados em XLSX","","Tue May 20 15:53:55 BRT 2025","passed","Tue May 20 15:53:56 BRT 2025","","","",""
"","5364","Verificar apresentação de dados BBCE do histórico dos dados de diretrizes diárias","","Tue May 20 15:53:30 BRT 2025","passed","Tue May 20 15:53:36 BRT 2025","","","",""
"","5842","Verificar apresentação do histórico dos dados de diretrizes diárias","","Tue May 20 15:53:19 BRT 2025","passed","Tue May 20 15:53:25 BRT 2025","","","",""
"","736","Exportar dados da diretriz I-REC apresentados em XLSX","","Tue May 20 15:53:54 BRT 2025","passed","Tue May 20 15:53:55 BRT 2025","","","",""
"","290","Visualizar dashboard com diretrizes semanais","","Tue May 20 15:53:17 BRT 2025","passed","Tue May 20 15:53:17 BRT 2025","","","",""
"","5310","Verificar apresentação de dados DCIDE do histórico dos dados de diretrizes semanais","","Tue May 20 15:53:46 BRT 2025","passed","Tue May 20 15:53:52 BRT 2025","","","",""
"","1934","Exportar dados da diretriz Semanal apresentados em XLSX","","Tue May 20 15:53:52 BRT 2025","passed","Tue May 20 15:53:54 BRT 2025","","","",""
"","496","Verificar apresentação dos dados de diretrizes semanais","","Tue May 20 15:53:19 BRT 2025","passed","Tue May 20 15:53:19 BRT 2025","","","",""
"","5322","Verificar apresentação de dados DCIDE do histórico dos dados de diretrizes diárias","","Tue May 20 15:53:41 BRT 2025","passed","Tue May 20 15:53:46 BRT 2025","","","",""
"","5257","Verificar apresentação de dados BBCE do histórico dos dados de diretrizes semanais","","Tue May 20 15:53:36 BRT 2025","passed","Tue May 20 15:53:41 BRT 2025","","","",""
"","714","Exportar dados da diretriz diária apresentados em XLSX","","Tue May 20 15:53:52 BRT 2025","passed","Tue May 20 15:53:52 BRT 2025","","","",""
"","653","Visualizar prêmios padrões","","Tue May 20 15:53:56 BRT 2025","passed","Tue May 20 15:53:56 BRT 2025","","","",""
"","563","Verificar apresentação dos dados de diretrizes diárias","","Tue May 20 15:53:18 BRT 2025","passed","Tue May 20 15:53:19 BRT 2025","","","",""
"","283","Visualizar dashboard com diretrizes de curto prazo","","Tue May 20 15:53:18 BRT 2025","passed","Tue May 20 15:53:18 BRT 2025","","","",""
